C,Mn,Si,Cr,Ni,Mo,Log_Tau_Ferrite,Log_Tau_Pearlite,Log_Tau_Bainite
0.25,1.135,1.047,2.244,0.024,2.373,0.5,2.27,4.488
0.104,0.22,1.247,2.934,4.282,0.803,0.208,0.44,5.868
1.479,0.995,1.258,3.047,3.003,4.892,2.958,1.99,6.094
0.602,0.793,0.434,2.93,0.435,0.276,1.204,1.586,5.86
1.034,1.465,1.463,2.394,2.646,2.123,2.068,2.93,4.788
1.388,0.835,0.711,3.007,2.763,4.046,2.776,1.67,6.014
0.234,0.646,0.975,0.068,0.711,2.865,0.468,1.292,0.136
0.984,0.499,0.415,0.681,4.318,1.99,1.968,0.998,1.362
0.608,0.223,0.116,1.015,3.24,0.412,1.216,0.446,2.03
0.366,0.373,0.944,2.942,1.689,4.208,0.732,0.746,5.884
0.721,1.393,1.079,4.011,2.651,2.95,1.442,2.786,8.022
1.211,0.867,0.912,4.204,3.688,0.952,2.422,1.734,8.408
0.481,0.429,0.395,3.867,0.55,2.636,0.962,0.858,7.734
0.208,1.301,0.575,1.337,4.292,0.257,0.416,2.602,2.674
0.602,0.139,0.705,1.684,1.416,3.918,1.204,0.278,3.368
0.444,0.759,0.934,0.222,1.779,2.289,0.888,1.518,0.444
1.253,0.998,0.866,4.477,3.999,0.212,2.506,1.996,8.954
0.477,0.302,1.15,2.863,2.861,0.506,0.954,0.604,5.726
1.131,0.292,1.254,0.414,0.017,4.064,2.262,0.584,0.828
1.454,1.391,1.187,1.573,4.325,4.707,2.908,2.782,3.146
1.134,0.887,1.255,4.204,0.563,3.103,2.268,1.774,8.408
1.463,0.352,1.253,0.646,3.071,1.019,2.926,0.704,1.292
0.996,1.401,1.316,0.617,3.998,1.412,1.992,2.802,1.234
0.733,0.782,0.286,0.673,2.315,3.441,1.466,1.564,1.346
1.044,1.35,1.307,1.077,2.722,1.654,2.088,2.7,2.154
0.536,0.559,0.132,3.13,2.418,1.065,1.072,1.118,6.26
0.504,0.441,0.899,4.823,2.842,3.967,1.008,0.882,9.646
1.129,0.125,1.161,2.278,1.531,1.269,2.258,0.25,4.556
0.346,1.279,1.476,1.475,1.952,1.506,0.692,2.558,2.95
0.538,1.413,0.754,2.512,4.533,2.792,1.076,2.826,5.024
0.66,0.328,0.701,1.477,1.378,4.039,1.32,0.656,2.954
0.817,0.189,1.138,2.529,2.369,3.125,1.634,0.378,5.058
0.586,0.744,0.815,1.776,1.834,1.672,1.172,1.488,3.552
1.347,1.296,1.316,1.579,2.367,0.363,2.694,2.592,3.158
0.942,0.726,0.748,0.415,1.765,1.419,1.884,1.452,0.83
0.463,1.079,1.031,2.724,1.356,1.829,0.926,2.158,5.448
0.147,1.294,0.314,2.999,4.185,4.651,0.294,2.588,5.998
0.527,1.393,1.254,0.476,0.666,2.306,1.054,2.786,0.952
0.63,1.488,0.365,3.744,0.335,1.308,1.26,2.976,7.488
1.371,1.422,1.39,4.662,3.708,1.615,2.742,2.844,9.324
0.618,1.12,1.303,4.467,3.27,3.995,1.236,2.24,8.934
0.823,0.397,0.944,2.95,2.165,1.524,1.646,0.794,5.9
1.447,0.501,1.259,0.501,2.998,4.141,2.894,1.002,1.002
0.107,0.85,0.333,3.527,1.074,0.777,0.214,1.7,7.054
0.366,1.119,0.1,0.365,2.919,4.911,0.732,2.238,0.73
1.164,0.234,0.384,3.974,4.623,2.21,2.328,0.468,7.948
1.093,0.921,1.254,1.157,3.772,4.537,2.186,1.842,2.314
1.276,1.025,0.842,1.929,3.198,4.746,2.552,2.05,3.858
1.35,0.973,0.359,4.708,1.959,0.46,2.7,1.946,9.416
0.182,1.395,0.536,1.43,1.925,4.672,0.364,2.79,2.86
0.534,0.483,1.444,1.388,1.78,0.873,1.068,0.966,2.776
0.392,0.949,0.572,4.024,3.823,3.169,0.784,1.898,8.048
1.104,0.604,0.791,3.886,3.466,4.408,2.208,1.208,7.772
0.978,0.707,0.295,4.051,2.227,2.225,1.956,1.414,8.102
1.024,0.544,1.009,0.001,0.541,2.054,2.048,1.088,0.002
0.775,1.47,0.315,0.022,4.089,0.752,1.55,2.94,0.044
1.077,0.424,1.464,1.007,2.598,4.215,2.154,0.848,2.014
1.338,0.253,0.221,4.289,3.197,3.09,2.676,0.506,8.578
0.791,0.575,1.415,4.202,0.894,4.991,1.582,1.15,8.404
1.187,1.014,0.865,2.26,1.456,0.349,2.374,2.028,4.52
1.477,1.221,1.012,4.132,1.464,1.359,2.954,2.442,8.264
0.894,1.485,1.164,2.98,3.13,4.953,1.788,2.97,5.96
0.421,0.951,0.291,2.46,1.425,2.664,0.842,1.902,4.92
0.836,1.412,1.238,4.775,3.846,2.025,1.672,2.824,9.55
1.343,0.164,1.049,0.555,4.272,1.364,2.686,0.328,1.11
0.492,0.152,0.799,4.865,1.429,0.646,0.984,0.304,9.73
0.4,1.345,1.023,0.911,3.44,3.725,0.8,2.69,1.822
1.469,0.183,0.865,0.944,4.617,1.526,2.938,0.366,1.888
1.399,1.143,1.287,4.474,0.892,0.451,2.798,2.286,8.948
0.827,1.066,0.592,0.099,0.4,3.214,1.654,2.132,0.198
0.4,0.565,0.442,0.139,0.339,3.05,0.8,1.13,0.278
0.105,0.101,0.516,1.229,2.091,0.122,0.21,0.202,2.458
1.17,1.022,0.948,4.067,1.558,2.067,2.34,2.044,8.134
0.922,0.132,1.39,0.771,4.75,2.573,1.844,0.264,1.542
0.806,1.424,1.274,0.572,2.567,0.391,1.612,2.848,1.144
1.423,0.979,1.264,2.021,4.876,3.317,2.846,1.958,4.042
0.362,0.472,1.459,4.644,3.71,4.244,0.724,0.944,9.288
0.144,0.435,0.76,1.968,0.523,4.305,0.288,0.87,3.936
1.168,1.459,1.155,4.942,3.627,1.489,2.336,2.918,9.884
1.418,0.679,1.298,0.732,4.875,3.15,2.836,1.358,1.464
0.948,0.303,0.373,1.815,4.115,2.617,1.896,0.606,3.63
0.25,1.459,0.242,2.143,0.146,4.895,0.5,2.918,4.286
1.139,1.077,0.394,2.475,4.079,0.657,2.278,2.154,4.95
1.311,1.16,0.679,1.266,4.026,4.824,2.622,2.32,2.532
0.803,1.143,1.019,3.653,4.792,2.934,1.606,2.286,7.306
1.063,0.665,0.282,3.836,0.681,3.344,2.126,1.33,7.672
0.837,1.266,0.443,2.366,2.718,3.637,1.674,2.532,4.732
1.125,0.276,1.037,4.282,0.458,4.383,2.25,0.552,8.564
0.896,1.213,0.222,1.081,2.256,4.494,1.792,2.426,2.162
0.19,0.328,0.351,3.82,3.892,2.622,0.38,0.656,7.64
0.35,0.929,0.661,3.014,4.151,1.448,0.7,1.858,6.028
1.404,0.672,1.039,4.333,0.661,1.098,2.808,1.344,8.666
1.194,0.748,1.041,1.875,0.788,4.89,2.388,1.496,3.75
0.692,1.207,0.5,1.121,4.119,0.101,1.384,2.414,2.242
0.905,0.74,1.232,0.124,0.862,0.868,1.81,1.48,0.248
0.732,1.299,1.35,2.317,3.97,3.076,1.464,2.598,4.634
0.712,0.714,0.791,1.739,0.629,0.272,1.424,1.428,3.478
0.54,0.4,0.97,3.834,4.412,3.766,1.08,0.8,7.668
0.13,0.972,1.491,0.843,4.698,3.916,0.26,1.944,1.686
0.516,0.566,1.098,0.876,3.992,0.523,1.032,1.132,1.752
0.295,1.139,1.196,4.348,4.712,3.882,0.59,2.278,8.696
1.045,1.492,0.957,4.103,1.07,2.24,2.09,2.984,8.206
1.138,1.066,0.411,0.803,3.372,3.757,2.276,2.132,1.606
1.207,1.29,0.564,3.109,2.161,1.428,2.414,2.58,6.218
1.273,0.727,1.036,3.875,0.301,1.486,2.546,1.454,7.75
1.396,1.257,1.212,4.237,0.136,0.852,2.792,2.514,8.474
1.268,0.293,0.611,2.865,0.6,2.802,2.536,0.586,5.73
0.523,1.151,1.143,1.625,3.875,0.782,1.046,2.302,3.25
0.13,1.129,0.373,2.004,4.161,4.646,0.26,2.258,4.008
0.804,0.998,0.458,0.13,1.52,1.408,1.608,1.996,0.26
0.45,1.245,0.893,4.255,1.92,4.5,0.9,2.49,8.51
1.423,0.206,0.465,0.11,3.379,1.098,2.846,0.412,0.22
0.781,0.591,0.593,3.455,3.125,3.398,1.562,1.182,6.91
0.292,1.11,0.803,2.302,1.504,3.229,0.584,2.22,4.604
0.853,1.327,0.137,0.747,0.833,4.934,1.706,2.654,1.494
0.225,0.295,0.207,4.872,2.308,3.494,0.45,0.59,9.744
0.808,1.243,0.646,1.457,2.471,4.372,1.616,2.486,2.914
0.554,0.205,0.882,2.639,3.204,3.505,1.108,0.41,5.278
0.889,1.309,0.942,4.369,0.478,4.182,1.778,2.618,8.738
0.302,1.408,0.713,3.271,0.424,2.847,0.604,2.816,6.542
0.11,0.215,0.225,0.449,0.094,3.318,0.22,0.43,0.898
1.091,0.398,0.896,1.895,4.251,3.984,2.182,0.796,3.79
1.199,1.297,1.099,1.303,4.888,2.206,2.398,2.594,2.606
0.16,0.854,1.483,0.55,4.838,3.815,0.32,1.708,1.1
0.353,0.424,0.431,2.455,3.371,3.076,0.706,0.848,4.91
1.405,1.374,1.067,4.206,2.607,3.367,2.81,2.748,8.412
0.218,1.051,0.517,4.204,1.409,3.046,0.436,2.102,8.408
0.524,0.572,0.815,0.221,1.295,2.378,1.048,1.144,0.442
1.13,0.122,0.258,4.027,0.128,2.139,2.26,0.244,8.054
0.889,0.337,1.453,3.634,1.979,0.012,1.778,0.674,7.268
0.999,0.571,0.871,3.41,2.768,4.169,1.998,1.142,6.82
0.696,0.364,0.407,4.374,0.411,0.234,1.392,0.728,8.748
0.643,1.353,0.906,0.147,1.938,0.133,1.286,2.706,0.294
1.16,0.837,1.076,4.724,2.698,3.097,2.32,1.674,9.448
1.41,0.316,0.56,0.494,0.24,0.129,2.82,0.632,0.988
0.915,0.362,0.633,3.867,3.138,4.983,1.83,0.724,7.734
0.412,0.92,0.515,3.184,2.838,4.998,0.824,1.84,6.368
0.159,1.056,1.042,3.38,0.404,1.648,0.318,2.112,6.76
1.133,1.04,0.976,1.568,1.554,4.274,2.266,2.08,3.136
0.93,0.768,1.082,2.303,1.298,2.863,1.86,1.536,4.606
0.92,0.893,1.35,3.028,4.343,3.005,1.84,1.786,6.056
1.086,0.476,0.994,1.855,2.421,1.467,2.172,0.952,3.71
0.588,0.59,0.811,3.323,0.312,4.623,1.176,1.18,6.646
0.457,0.775,0.922,0.404,4.406,2.683,0.914,1.55,0.808
1.12,0.714,0.749,3.355,2.959,0.038,2.24,1.428,6.71
0.339,1.085,0.869,4.283,3.894,3.711,0.678,2.17,8.566
1.409,1.16,0.133,4.739,2.198,2.358,2.818,2.32,9.478
0.845,0.321,0.985,3.262,4.11,4.035,1.69,0.642,6.524
0.464,0.957,1.06,2.793,0.976,2.495,0.928,1.914,5.586
0.384,1.418,0.462,0.469,2.904,1.227,0.768,2.836,0.938
0.335,1.433,0.91,1.401,4.678,4.318,0.67,2.866,2.802
1.146,1.489,0.942,0.911,4.864,0.095,2.292,2.978,1.822
0.571,1.479,0.517,4.252,1.479,2.997,1.142,2.958,8.504
0.349,1.303,1.106,4.685,4.639,3.614,0.698,2.606,9.37
0.363,0.724,0.43,2.254,2.91,3.707,0.726,1.448,4.508
0.151,0.593,0.28,3.07,4.439,0.547,0.302,1.186,6.14
1.308,1.082,0.215,4.423,1.582,4.247,2.616,2.164,8.846
0.263,1.417,0.501,0.229,0.419,2.955,0.526,2.834,0.458
0.938,1.2,1.292,3.234,0.134,3.741,1.876,2.4,6.468
0.462,1.04,0.688,3.668,3.459,0.529,0.924,2.08,7.336
0.256,0.747,0.275,3.256,0.923,0.285,0.512,1.494,6.512
0.887,0.936,0.488,1.9,0.992,2.439,1.774,1.872,3.8
1.431,0.571,0.355,4.899,2.912,3.01,2.862,1.142,9.798
1.205,0.702,0.184,2.688,2.386,4.778,2.41,1.404,5.376
1.348,0.204,0.526,1.077,4.878,2.186,2.696,0.408,2.154
1.216,0.261,1.37,4.757,2.024,2.456,2.432,0.522,9.514
1.432,0.483,0.955,1.374,4.772,3.394,2.864,0.966,2.748
1.341,0.813,1.11,3.036,0.902,1.867,2.682,1.626,6.072
0.642,0.469,1.125,0.056,4.544,4.813,1.284,0.938,0.112
0.3,1.252,1.018,3.434,0.06,1.448,0.6,2.504,6.868
0.21,0.218,0.608,2.317,0.162,3.841,0.42,0.436,4.634
1.132,1.369,1.263,1.077,2.559,2.219,2.264,2.738,2.154
0.994,0.779,0.392,2.003,0.972,0.55,1.988,1.558,4.006
0.991,1.381,1.419,4.773,4.882,4.028,1.982,2.762,9.546
1.493,0.89,0.89,1.538,2.021,3.677,2.986,1.78,3.076
1.138,1.257,0.544,0.387,2.996,4.818,2.276,2.514,0.774
0.107,0.518,1.449,0.659,1.915,3.939,0.214,1.036,1.318
0.971,0.532,0.955,4.584,0.741,3.074,1.942,1.064,9.168
1.298,1.28,0.957,3.795,4.85,2.007,2.596,2.56,7.59
0.744,1.146,0.401,0.314,0.193,0.925,1.488,2.292,0.628
0.596,0.454,0.996,1.901,1.818,0.375,1.192,0.908,3.802
1.277,0.818,0.93,2.415,2.776,2.636,2.554,1.636,4.83
0.518,0.119,0.893,0.104,2.69,3.402,1.036,0.238,0.208
1.046,0.899,0.208,0.955,1.907,0.07,2.092,1.798,1.91
0.433,0.149,0.422,2.135,2.595,1.453,0.866,0.298,4.27
0.98,1.254,0.535,1.555,1.591,0.032,1.96,2.508,3.11
0.358,1.472,1.09,4.227,4.252,3.234,0.716,2.944,8.454
0.468,0.836,0.361,1.76,2.086,0.299,0.936,1.672,3.52
0.16,0.466,1.431,3.632,3.868,4.498,0.32,0.932,7.264
0.872,0.879,0.228,4.192,4.662,3.92,1.744,1.758,8.384
0.779,0.993,0.318,3.25,2.241,3.704,1.558,1.986,6.5
0.689,0.826,0.716,0.885,2.993,1.548,1.378,1.652,1.77
1.154,0.463,0.96,2.432,1.201,3.067,2.308,0.926,4.864
1.493,0.206,0.338,3.46,0.472,3.412,2.986,0.412,6.92
1.105,0.421,0.348,0.143,4.916,2.836,2.21,0.842,0.286
0.252,1.323,0.613,0.633,2.115,0.517,0.504,2.646,1.266
0.242,1.216,0.962,4.882,0.5,2.253,0.484,2.432,9.764
0.83,0.509,1.121,1.248,0.062,3.403,1.66,1.018,2.496
0.783,1.101,0.215,3.388,1.977,1.397,1.566,2.202,6.776
0.89,0.287,1.225,4.777,1.057,1.108,1.78,0.574,9.554
0.186,0.192,0.629,4.093,1.417,2.894,0.372,0.384,8.186
1.386,1.164,1.25,1.808,0.85,0.725,2.772,2.328,3.616
0.314,0.348,0.957,4.801,4.508,2.647,0.628,0.696,9.602
0.21,1.224,0.357,3.096,1.811,4.777,0.42,2.448,6.192
1.242,0.69,1.469,4.982,3.838,0.196,2.484,1.38,9.964
0.798,0.702,1.056,0.718,4.777,4.975,1.596,1.404,1.436
1.136,0.974,0.297,1.383,2.31,0.468,2.272,1.948,2.766
0.625,0.504,0.313,3.17,4.912,2.584,1.25,1.008,6.34
0.823,0.428,1.2,3.113,2.31,2.733,1.646,0.856,6.226
0.123,1.439,0.675,0.304,3.101,0.86,0.246,2.878,0.608
1.059,0.544,1.228,2.348,2.498,1.533,2.118,1.088,4.696
0.176,1.237,1.443,4.668,1.726,2.518,0.352,2.474,9.336
0.525,0.496,0.416,2.257,0.307,0.791,1.05,0.992,4.514
1.189,0.992,0.542,1.475,4.57,1.373,2.378,1.984,2.95
0.294,1.243,1.484,4.228,3.971,2.314,0.588,2.486,8.456
1.116,0.649,1.062,4.238,3.131,1.754,2.232,1.298,8.476
0.194,0.835,0.397,0.849,2.257,2.449,0.388,1.67,1.698
1.172,1.001,0.513,0.826,0.232,0.974,2.344,2.002,1.652
1.148,1.424,0.843,1.293,2.513,1.792,2.296,2.848,2.586
0.47,0.316,0.383,3.934,1.796,2.783,0.94,0.632,7.868
1.156,0.675,0.336,2.314,0.524,3.947,2.312,1.35,4.628
1.244,1.01,1.056,2.829,4.75,2.726,2.488,2.02,5.658
0.508,0.637,1.269,2.427,1.453,0.032,1.016,1.274,4.854
1.497,0.171,1.438,4.392,1.663,0.807,2.994,0.342,8.784
0.744,0.408,0.35,0.999,0.648,4.018,1.488,0.816,1.998
0.896,1.042,0.179,3.617,1.648,1.182,1.792,2.084,7.234
1.46,0.783,0.538,3.273,0.563,1.457,2.92,1.566,6.546
0.919,1.342,1.319,0.731,3.361,1.837,1.838,2.684,1.462
0.388,0.802,1.495,3.113,1.514,3.726,0.776,1.604,6.226
0.625,0.611,1.155,0.792,4.001,1.705,1.25,1.222,1.584
0.692,1.07,1.211,4.608,3.772,2.355,1.384,2.14,9.216
1.287,0.629,0.299,1.325,3.582,0.097,2.574,1.258,2.65
0.763,0.429,0.403,0.251,4.504,2.661,1.526,0.858,0.502
0.937,1.023,1.387,3.643,2.145,2.482,1.874,2.046,7.286
0.485,1.299,1.159,0.16,3.723,1.486,0.97,2.598,0.32
0.763,0.767,1.291,0.796,2.057,1.438,1.526,1.534,1.592
0.111,0.115,1.022,0.866,4.286,1.762,0.222,0.23,1.732
0.277,0.396,1.052,3.156,1.615,4.444,0.554,0.792,6.312
0.514,0.966,1.229,4.154,4.817,0.26,1.028,1.932,8.308
0.873,0.177,0.996,4.853,1.474,3.278,1.746,0.354,9.706
1.343,0.653,0.755,2.49,4.418,1.243,2.686,1.306,4.98
1.049,0.836,0.102,1.087,4.291,4.582,2.098,1.672,2.174
1.329,1.464,0.102,4.069,1.41,3.521,2.658,2.928,8.138
1.186,0.441,0.523,3.966,2.49,0.446,2.372,0.882,7.932
0.846,0.477,0.181,4.109,4.748,2.118,1.692,0.954,8.218
0.576,0.798,0.145,2.929,3.79,3.387,1.152,1.596,5.858
0.673,1.499,1.085,4.402,3.171,0.738,1.346,2.998,8.804
0.468,0.832,1.2,2.853,4.683,0.959,0.936,1.664,5.706
1.031,0.154,1.085,2.518,0.401,1.766,2.062,0.308,5.036
0.278,0.697,1.461,2.058,1.559,3.954,0.556,1.394,4.116
1.278,0.373,1.041,3.319,1.345,3.268,2.556,0.746,6.638
1.404,0.858,0.838,4.835,4.166,0.716,2.808,1.716,9.67
0.179,0.236,0.465,1.19,0.812,2.123,0.358,0.472,2.38
0.481,0.589,0.396,2.434,0.799,3.374,0.962,1.178,4.868
1.361,0.896,0.683,2.956,3.741,2.052,2.722,1.792,5.912
0.733,1.312,1.4,1.408,3.922,4.152,1.466,2.624,2.816
1.372,0.605,0.759,1.258,0.623,2.173,2.744,1.21,2.516
0.9,0.284,0.262,1.866,4.863,4.976,1.8,0.568,3.732
1.459,0.513,0.703,1.173,0.358,0.262,2.918,1.026,2.346
0.291,1.242,0.211,4.509,1.457,4.175,0.582,2.484,9.018
0.253,0.378,0.896,1.254,1.971,0.798,0.506,0.756,2.508
1.473,0.914,1.477,0.688,1.038,0.949,2.946,1.828,1.376
0.496,0.809,1.489,4.466,3.308,4.76,0.992,1.618,8.932
0.328,0.386,1.338,2.525,0.901,2.368,0.656,0.772,5.05
0.795,0.577,0.349,4.325,3.443,1.129,1.59,1.154,8.65
1.097,0.158,1.43,3.296,2.852,4.766,2.194,0.316,6.592
0.85,1.075,1.287,1.854,3.107,1.496,1.7,2.15,3.708
0.769,0.443,0.948,0.942,4.566,1.445,1.538,0.886,1.884
1.058,1.268,0.312,0.859,2.093,0.156,2.116,2.536,1.718
0.728,0.11,0.328,2.849,0.478,3.047,1.456,0.22,5.698
0.371,0.575,0.454,2.15,3.549,0.013,0.742,1.15,4.3
1.244,0.103,1.157,3.847,2.685,0.395,2.488,0.206,7.694
0.84,0.285,0.888,2.52,1.172,0.384,1.68,0.57,5.04
0.21,0.596,1.463,1.339,1.12,3.392,0.42,1.192,2.678
1.157,0.358,1.181,4.777,4.274,3.68,2.314,0.716,9.554
1.134,0.919,1.134,4.493,2.322,1.809,2.268,1.838,8.986
1.493,0.169,0.209,3.421,1.055,3.601,2.986,0.338,6.842
0.651,0.228,0.812,0.331,2.524,2.591,1.302,0.456,0.662
0.403,0.123,1.028,4.069,1.501,3.664,0.806,0.246,8.138
1.031,0.45,0.549,4.467,2.189,1.799,2.062,0.9,8.934
1.043,0.267,1.015,4.527,4.296,0.105,2.086,0.534,9.054
1.102,0.108,0.421,3.978,1.657,2.391,2.204,0.216,7.956
0.38,1.06,0.207,3.664,3.8,4.551,0.76,2.12,7.328
0.47,0.261,0.514,4.68,3.269,4.565,0.94,0.522,9.36
1.397,0.343,1.349,0.968,2.17,2.789,2.794,0.686,1.936
0.363,1.31,0.497,3.956,0.276,0.321,0.726,2.62,7.912
1.119,0.466,0.126,3.61,1.949,0.128,2.238,0.932,7.22
1.065,0.662,1.242,2.802,1.196,0.282,2.13,1.324,5.604
0.768,1.445,0.123,3.232,0.679,3.736,1.536,2.89,6.464
0.836,1.114,1.095,0.369,4.208,2.454,1.672,2.228,0.738
0.565,0.892,0.983,2.776,2.761,2.02,1.13,1.784,5.552
1.461,1.204,0.978,3.23,0.083,0.832,2.922,2.408,6.46
1.171,0.986,1.312,1.914,3.533,3.855,2.342,1.972,3.828
0.722,1.256,1.474,2.512,0.012,2.384,1.444,2.512,5.024
0.315,1.009,1.304,3.167,2.32,1.745,0.63,2.018,6.334
0.217,1.241,0.631,2.947,3.811,1.065,0.434,2.482,5.894
0.579,1.209,0.338,3.46,3.256,3.146,1.158,2.418,6.92
0.176,0.402,0.115,1.307,2.648,3.598,0.352,0.804,2.614
1.383,1.235,0.306,1.655,3.831,2.251,2.766,2.47,3.31
0.753,0.581,0.869,3.522,0.269,0.83,1.506,1.162,7.044
0.675,1.286,0.361,2.942,2.727,0.997,1.35,2.572,5.884
0.262,1.218,0.842,2.806,0.814,1.19,0.524,2.436,5.612
0.36,0.134,0.78,2.267,3.867,3.104,0.72,0.268,4.534
0.126,1.412,0.46,4.935,2.629,1.835,0.252,2.824,9.87
0.745,0.506,0.543,0.002,4.01,2.215,1.49,1.012,0.004
0.649,1.304,1.449,0.631,0.039,1.647,1.298,2.608,1.262
0.212,1.438,0.704,1.43,4.83,0.646,0.424,2.876,2.86
0.127,0.658,0.193,4.265,3.127,2.546,0.254,1.316,8.53
0.609,0.812,0.477,4.622,3.419,1.201,1.218,1.624,9.244
1.206,1.309,0.538,3.035,3.61,1.807,2.412,2.618,6.07
0.212,1.023,0.323,1.52,1.87,0.792,0.424,2.046,3.04
0.129,1.391,0.641,2.662,1.633,0.381,0.258,2.782,5.324
1.33,1.126,0.72,4.833,3.351,3.844,2.66,2.252,9.666
0.3,0.85,1.434,3.094,0.373,0.946,0.6,1.7,6.188
1.499,1.412,1.099,3.041,2.756,2.107,2.998,2.824,6.082
0.334,0.986,1.247,1.713,2.315,1.7,0.668,1.972,3.426
1.051,0.968,0.62,4.248,1.503,2.677,2.102,1.936,8.496
1.499,1.336,0.921,1.987,1.457,4.501,2.998,2.672,3.974
1.327,0.451,1.059,2.368,2.811,4.234,2.654,0.902,4.736
1.326,0.412,0.21,4.771,1.972,3.347,2.652,0.824,9.542
0.601,0.883,1.431,0.987,3.981,4.863,1.202,1.766,1.974
0.666,1.211,0.649,3.371,0.048,0.69,1.332,2.422,6.742
0.882,1.086,1.425,1.838,2.767,4.042,1.764,2.172,3.676
0.324,0.507,1.445,2.364,2.247,0.375,0.648,1.014,4.728
1.144,1.333,0.438,3.013,3.829,3.344,2.288,2.666,6.026
0.185,0.184,0.313,2.984,4.57,3.16,0.37,0.368,5.968
1.342,1.458,0.463,2.841,2.139,1.515,2.684,2.916,5.682
0.207,0.439,0.608,3.042,1.733,1.743,0.414,0.878,6.084
0.793,1.36,0.47,3.539,0.311,2.63,1.586,2.72,7.078
0.933,0.207,0.499,0.109,1.812,3.056,1.866,0.414,0.218
0.253,0.427,1.457,3.429,4.235,1.702,0.506,0.854,6.858
1.207,1.305,0.497,3.84,4.786,0.282,2.414,2.61,7.68
1.156,1.422,0.752,3.036,4.337,3.276,2.312,2.844,6.072
0.213,1.29,0.57,3.869,2.538,3.464,0.426,2.58,7.738
0.235,1.398,0.73,1.146,3.574,2.87,0.47,2.796,2.292
1.236,0.64,0.941,0.783,2.278,0.316,2.472,1.28,1.566
0.356,1.118,0.402,0.663,3.006,2.247,0.712,2.236,1.326
0.448,0.843,0.967,1.464,0.185,4.716,0.896,1.686,2.928
1.13,0.603,1.45,4.774,4.405,1.04,2.26,1.206,9.548
0.541,1.424,0.656,0.9,1.878,3.778,1.082,2.848,1.8
0.447,0.96,1.042,1.199,4.153,3.172,0.894,1.92,2.398
0.776,1.453,1.412,1.032,1.849,3.775,1.552,2.906,2.064
1.29,0.198,0.619,2.717,3.17,1.052,2.58,0.396,5.434
1.333,1.456,0.871,3.406,4.182,3.422,2.666,2.912,6.812
0.179,0.814,1.134,4.035,1.884,0.854,0.358,1.628,8.07
0.288,0.729,1.229,4.012,4.27,3.615,0.576,1.458,8.024
1.248,1.469,0.817,4.383,3.738,0.525,2.496,2.938,8.766
0.425,0.291,1.263,1.596,4.424,2.308,0.85,0.582,3.192
0.994,1.082,0.584,0.984,0.278,1.784,1.988,2.164,1.968
0.105,1.368,0.216,3.574,3.446,3.737,0.21,2.736,7.148
0.295,0.177,1.206,4.914,1.474,2.258,0.59,0.354,9.828
1.295,0.469,0.306,4.754,2.8,0.348,2.59,0.938,9.508
1.036,0.164,0.35,4.22,2.386,4.614,2.072,0.328,8.44
0.873,1.253,0.85,1.513,3.083,4.741,1.746,2.506,3.026
0.338,0.519,1.079,2.059,2.521,2.196,0.676,1.038,4.118
1.057,1.244,0.555,0.943,3.11,4.472,2.114,2.488,1.886
0.271,0.286,0.731,3.501,4.181,4.586,0.542,0.572,7.002
0.259,1.007,1.407,0.681,0.736,1.201,0.518,2.014,1.362
0.677,0.96,0.172,0.214,2.747,0.126,1.354,1.92,0.428
0.299,0.68,1.1,1.502,4.871,1.073,0.598,1.36,3.004
1.493,0.334,0.598,1.112,4.518,2.733,2.986,0.668,2.224
0.394,0.43,0.996,2.758,0.411,4.775,0.788,0.86,5.516
1.133,1.262,0.12,3.425,3.076,1.555,2.266,2.524,6.85
0.932,1.446,0.374,1.04,1.612,0.689,1.864,2.892,2.08
1.269,1.239,1.416,2.945,1.133,0.734,2.538,2.478,5.89
0.588,0.196,0.429,2.176,4.394,0.206,1.176,0.392,4.352
1.176,0.705,1.2,2.925,0.863,1.938,2.352,1.41,5.85
1.075,0.21,1.166,0.822,1.981,0.484,2.15,0.42,1.644
1.485,1.131,0.747,1.662,4.632,4.082,2.97,2.262,3.324
0.317,0.344,1.469,2.692,0.024,3.79,0.634,0.688,5.384
0.442,0.963,0.298,4.371,0.562,2.972,0.884,1.926,8.742
0.826,0.211,1.461,3.042,3.343,1.862,1.652,0.422,6.084
0.416,1.247,0.354,3.028,1.751,3.432,0.832,2.494,6.056
0.251,0.503,1.202,1.167,4.176,3.994,0.502,1.006,2.334
0.498,0.305,1.42,3.73,4.369,4.195,0.996,0.61,7.46
0.564,0.175,1.213,4.077,2.925,3.837,1.128,0.35,8.154
0.376,0.469,1.472,1.775,0.297,3.998,0.752,0.938,3.55
0.528,1.388,0.224,3.549,1.536,0.992,1.056,2.776,7.098
0.309,0.881,0.395,0.726,4.557,4.397,0.618,1.762,1.452
0.98,0.193,0.472,1.402,1.656,1.423,1.96,0.386,2.804
0.92,1.02,0.763,1.406,0.418,0.683,1.84,2.04,2.812
0.378,0.324,0.626,0.099,3.495,3.53,0.756,0.648,0.198
1.475,0.622,0.469,3.431,2.236,0.459,2.95,1.244,6.862
0.509,1.385,0.22,1.244,3.72,1.052,1.018,2.77,2.488
1.453,1.466,0.287,3.67,2.314,4.656,2.906,2.932,7.34
0.644,0.216,0.273,3.729,1.464,1.36,1.288,0.432,7.458
0.32,0.217,0.967,2.298,3.975,3.059,0.64,0.434,4.596
